App_oid,Collection_oid,Field_id,Name,Datatype_id,Description,Required,Calculated,Formula,Translatable
0,278023,21803,OB_,1,,0,0,,0
0,278023,21804,Region,1,,0,0,,0
0,278024,21805,OB_,1,,0,0,,0
0,278024,21806,Region,1,,0,0,,0
0,280650,22414,Localizador,1,,0,0,,0
0,280965,21817,Plantilla,1,,0,0,,0
"0,281427,21874,""Número observaciones"",4,,0,1,indicator_value(199437),0"
"0,281427,21875,""Número de No Conformes"",4,,0,1,indicator_value(199436),0"
"0,281427,21876,""Número de No conformidades críticas"",4,,0,1,indicator_value(199435),0"
"0,281427,21877,""Número de No conformidades Inaceptables"",4,,0,1,indicator_value(199434),0"
"0,284686,21981,""Estado N0 Carga"",5,,0,0,,0"
"0,284686,21982,""Estado N0,5 Actualizacion"",5,,0,0,,0"
"0,284686,21983,""Estado N1 Reportador"",5,,0,0,,0"
"0,284686,21984,""Estado N2 Responsable RRHH"",5,,0,0,,0"
"0,284686,21985,""Estado N3 Director RRHH"",5,,0,0,,0"
"0,298549,22649,Denominador,3,""Identifica los indicadores que van al denominador de la fórmula"",0,0,,0"
"0,298549,22650,Divisor,3,""Identifica los valores que van al divisor de la fórmula"",0,0,,0"
0,301476,22831,Query,1,,0,0,NULL,0
0,304775,22953,año_id,3,,0,0,NULL,0
0,304775,22954,mes_id,3,,0,0,NULL,0
"103721,296719,22564,""Field 1"",1,,0,0,,0"
"103721,296719,22565,""Field 2"",1,,0,0,,0"
103721,299143,22714,nombre_etl,1,,0,0,,0
103721,299143,22715,fichero_etl,1,,0,0,,0
120326,168999,4970,Sociedad,501,,0,0,,0
120326,168999,4969,Año,491,,0,0,,0
"120326,168999,2364,""Fotografía (Si es posible), ADJUNTAR ARCHIVO"",330,,0,0,,0"
"120326,168999,2365,""Otros Datos Disponibles (Presentaciones, enlaces...) ADJUNTAR  ARCHIVO"",330,,0,0,,0"
"120326,168999,2362,""Inversión y/o gasto realizado por la empresa asociado al proyecto (en euros)"",329,,0,0,,0"
